"Qty";"Value";"Device";"Package";"Parts";"Description";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"SPICEPREFIX";"VENDOR";
"1";"";"DIODESOD-123";"SOD-123";"D3";"Diode";"";"";"";"";"";"";"";"";
"1";"";"PTCFUSE-1206";"R1206";"F1";"PTC fuses, resettable thermistors";"";"";"";"";"";"";"";"";
"3";"";"R-US_R0402";"R0402";"R8, R30, R31";"RESISTOR, American symbol";"";"";"";"";"";"";"R";"";
"2";"100n";"C-EUC0402";"C0402";"C38, C39";"CAPACITOR, European symbol";"";"";"";"";"";"";"C";"";
"11";"100nF";"C-EUC0402";"C0402";"C28, C29, C30, C31, C33, C34, C35, C40, C41, C42, C43";"CAPACITOR, European symbol";"";"";"";"";"";"";"C";"";
"4";"100nF";"C-EUC0603";"C0603";"C3, C12, C24, C45";"CAPACITOR, European symbol";"";"";"";"";"";"";"C";"";
"2";"10144517-042802LF";"10144517-042802LF";"10144517-042802LF";"J1, J3";"";"";"";"";"";"";"";"";"";
"2";"10144518-041802LF";"10144518-041802LF";"10144518-041802LF";"J2, J4";"";"";"";"";"";"";"";"";"";
"5";"10k";"R-US_R0402";"R0402";"R17, R19, R21, R23, R29";"RESISTOR, American symbol";"";"";"";"";"";"";"R";"";
"3";"10m";"R-US_R1206";"R1206";"R5, R6, R7";"RESISTOR, American symbol";"";"";"";"";"";"";"R";"";
"1";"120 DNP";"R-US_R0402";"R0402";"R26";"RESISTOR, American symbol";"";"";"";"";"";"";"R";"";
"2";"150k";"R-US_R0402";"R0402";"R20, R22";"RESISTOR, American symbol";"";"";"";"";"";"";"R";"";
"4";"1pF";"C-EUC0402";"C0402";"C13, C14, C25, C26";"CAPACITOR, European symbol";"";"";"";"";"";"";"C";"";
"3";"1u";"C-EUC0402";"C0402";"C36, C37, C44";"CAPACITOR, European symbol";"";"";"";"";"";"";"C";"";
"2";"1uF";"C-EUC0603";"C0603";"C1, C2";"CAPACITOR, European symbol";"";"";"";"";"";"";"C";"";
"3";"1uF";"C-EUC0805";"C0805";"C15, C27, C32";"CAPACITOR, European symbol";"";"";"";"";"";"";"C";"";
"11";"2.2k";"R-US_R0402";"R0402";"R9, R10, R11, R12, R13, R14, R15, R24, R25, R27, R28";"RESISTOR, American symbol";"";"";"";"";"";"";"R";"";
"2";"20k";"R-US_R0402";"R0402";"R16, R18";"RESISTOR, American symbol";"";"";"";"";"";"";"R";"";
"6";"22uF";"C-EUC1210";"C1210";"C4, C5, C6, C16, C17, C18";"CAPACITOR, European symbol";"";"";"";"";"";"";"C";"";
