fr,qf,z_out
5.24E+04,1.33E+00,1.63E-01
6.41E+04,1.30E+00,1.50E-01
7.06E+04,1.23E+00,1.60E-01
5.74E+04,1.21E+00,1.79E-01
5.99E+04,1.31E+00,1.60E-01
6.43E+04,1.17E+00,1.78E-01
7.54E+04,1.09E+00,1.77E-01
6.28E+04,1.12E+00,1.85E-01
6.55E+04,1.09E+00,1.94E-01
5.60E+04,1.14E+00,1.86E-01
5.87E+04,1.28E+00,1.58E-01
7.88E+04,1.23E+00,1.53E-01
7.71E+04,1.22E+00,1.59E-01
5.72E+04,1.27E+00,1.60E-01
6.00E+04,1.21E+00,1.64E-01
6.43E+04,1.16E+00,1.88E-01
5.72E+04,1.22E+00,1.77E-01
5.48E+04,1.21E+00,1.75E-01
7.73E+04,1.11E+00,1.72E-01
6.70E+04,1.07E+00,2.00E-01
6.86E+04,1.28E+00,1.52E-01
5.73E+04,1.25E+00,1.76E-01
6.70E+04,1.19E+00,1.69E-01
5.56E+04,1.28E+00,1.57E-01
5.48E+04,1.23E+00,1.61E-01
6.88E+04,1.17E+00,1.72E-01
5.84E+04,1.16E+00,1.79E-01
5.86E+04,1.19E+00,1.80E-01
5.36E+04,1.18E+00,1.83E-01
6.05E+04,1.08E+00,1.85E-01
6.41E+04,1.29E+00,1.56E-01
5.46E+04,1.27E+00,1.67E-01
5.74E+04,1.23E+00,1.73E-01
6.74E+04,1.24E+00,1.54E-01
5.87E+04,1.25E+00,1.67E-01
7.19E+04,1.12E+00,1.75E-01
7.56E+04,1.15E+00,1.68E-01
7.37E+04,1.11E+00,1.72E-01
5.37E+04,1.18E+00,1.83E-01
6.14E+04,1.19E+00,1.76E-01
7.38E+04,1.26E+00,1.58E-01
6.15E+04,1.26E+00,1.61E-01
6.42E+04,1.23E+00,1.54E-01
5.97E+04,1.34E+00,1.61E-01
6.29E+04,1.17E+00,1.75E-01
5.40E+04,1.19E+00,1.79E-01
5.23E+04,1.19E+00,1.71E-01
5.62E+04,1.19E+00,1.88E-01
7.56E+04,1.08E+00,1.86E-01
7.87E+04,1.10E+00,1.70E-01
5.11E+04,1.31E+00,1.61E-01
6.01E+04,1.33E+00,1.49E-01
7.40E+04,1.16E+00,1.71E-01
5.24E+04,1.25E+00,1.69E-01
5.48E+04,1.27E+00,1.66E-01
6.24E+04,1.15E+00,1.84E-01
5.74E+04,1.24E+00,1.71E-01
5.73E+04,1.18E+00,1.72E-01
5.97E+04,1.12E+00,1.85E-01
5.83E+04,1.12E+00,1.91E-01
6.15E+04,1.31E+00,1.56E-01
6.53E+04,1.20E+00,1.72E-01
6.71E+04,1.26E+00,1.59E-01
5.60E+04,1.29E+00,1.71E-01
7.64E+04,1.15E+00,1.67E-01
6.52E+04,1.19E+00,1.73E-01
6.15E+04,1.18E+00,1.79E-01
5.35E+04,1.15E+00,1.91E-01
5.19E+04,1.16E+00,1.88E-01
6.26E+04,1.10E+00,1.83E-01
7.90E+04,1.20E+00,1.58E-01
6.84E+04,1.28E+00,1.61E-01
6.58E+04,1.23E+00,1.60E-01
7.32E+04,1.17E+00,1.62E-01
7.58E+04,1.12E+00,1.78E-01
6.57E+04,1.17E+00,1.79E-01
5.36E+04,1.23E+00,1.77E-01
7.34E+04,1.10E+00,1.80E-01
5.24E+04,1.18E+00,1.79E-01
6.81E+04,1.11E+00,1.84E-01
6.57E+04,1.25E+00,1.62E-01
5.86E+04,1.29E+00,1.68E-01
6.65E+04,1.28E+00,1.57E-01
6.88E+04,1.18E+00,1.62E-01
5.77E+04,1.20E+00,1.69E-01
5.24E+04,1.23E+00,1.70E-01
5.35E+04,1.25E+00,1.68E-01
5.35E+04,1.16E+00,1.82E-01
6.07E+04,1.11E+00,1.95E-01
7.47E+04,1.04E+00,1.94E-01
5.74E+04,1.29E+00,1.59E-01
6.15E+04,1.26E+00,1.61E-01
5.96E+04,1.24E+00,1.62E-01
6.02E+04,1.24E+00,1.65E-01
6.88E+04,1.17E+00,1.69E-01
6.24E+04,1.15E+00,1.67E-01
5.87E+04,1.22E+00,1.68E-01
7.05E+04,1.12E+00,1.84E-01
7.00E+04,1.11E+00,1.82E-01
7.58E+04,1.07E+00,1.77E-01
5.72E+04,1.34E+00,1.53E-01
5.89E+04,1.32E+00,1.55E-01
6.27E+04,1.31E+00,1.59E-01
5.48E+04,1.37E+00,1.50E-01
7.20E+04,1.14E+00,1.77E-01
5.56E+04,1.26E+00,1.71E-01
7.55E+04,1.14E+00,1.71E-01
7.20E+04,1.09E+00,1.84E-01
7.90E+04,1.05E+00,1.86E-01
8.12E+04,1.05E+00,1.86E-01
7.04E+04,1.24E+00,1.60E-01
6.73E+04,1.22E+00,1.60E-01
5.61E+04,1.33E+00,1.60E-01
6.43E+04,1.19E+00,1.64E-01
5.40E+04,1.26E+00,1.66E-01
6.14E+04,1.20E+00,1.74E-01
7.06E+04,1.18E+00,1.63E-01
7.89E+04,1.06E+00,1.87E-01
5.52E+04,1.17E+00,1.79E-01
7.70E+04,1.11E+00,1.83E-01
7.22E+04,1.24E+00,1.54E-01
5.48E+04,1.33E+00,1.62E-01
6.73E+04,1.22E+00,1.67E-01
5.86E+04,1.23E+00,1.72E-01
6.72E+04,1.14E+00,1.73E-01
5.74E+04,1.18E+00,1.76E-01
6.01E+04,1.20E+00,1.68E-01
6.89E+04,1.15E+00,1.74E-01
5.80E+04,1.21E+00,1.72E-01
7.51E+04,1.07E+00,1.83E-01
7.75E+04,1.23E+00,1.55E-01
7.36E+04,1.21E+00,1.61E-01
5.61E+04,1.33E+00,1.59E-01
6.73E+04,1.17E+00,1.66E-01
6.80E+04,1.17E+00,1.67E-01
5.59E+04,1.21E+00,1.72E-01
7.00E+04,1.09E+00,1.84E-01
6.38E+04,1.15E+00,1.72E-01
8.28E+04,1.08E+00,1.82E-01
6.58E+04,1.09E+00,1.88E-01
5.59E+04,1.38E+00,1.55E-01
5.86E+04,1.29E+00,1.65E-01
7.38E+04,1.18E+00,1.61E-01
5.49E+04,1.34E+00,1.57E-01
7.18E+04,1.14E+00,1.76E-01
7.91E+04,1.12E+00,1.75E-01
5.59E+04,1.17E+00,1.76E-01
7.68E+04,1.09E+00,1.76E-01
6.58E+04,1.14E+00,1.79E-01
5.98E+04,1.11E+00,1.93E-01
5.73E+04,1.34E+00,1.54E-01
5.24E+04,1.32E+00,1.59E-01
7.53E+04,1.19E+00,1.60E-01
6.14E+04,1.26E+00,1.64E-01
8.08E+04,1.13E+00,1.68E-01
6.14E+04,1.16E+00,1.85E-01
5.12E+04,1.21E+00,1.78E-01
5.74E+04,1.21E+00,1.67E-01
5.84E+04,1.14E+00,1.77E-01
7.04E+04,1.12E+00,1.82E-01
5.93E+04,1.33E+00,1.65E-01
6.74E+04,1.29E+00,1.49E-01
6.23E+04,1.20E+00,1.75E-01
5.95E+04,1.22E+00,1.70E-01
5.74E+04,1.27E+00,1.57E-01
6.14E+04,1.19E+00,1.64E-01
7.05E+04,1.13E+00,1.74E-01
7.38E+04,1.09E+00,1.80E-01
5.87E+04,1.13E+00,1.88E-01
5.82E+04,1.20E+00,1.76E-01
7.58E+04,1.25E+00,1.47E-01
6.14E+04,1.25E+00,1.58E-01
7.05E+04,1.22E+00,1.54E-01
5.74E+04,1.27E+00,1.69E-01
5.36E+04,1.26E+00,1.63E-01
5.46E+04,1.20E+00,1.79E-01
6.52E+04,1.18E+00,1.74E-01
6.57E+04,1.11E+00,1.86E-01
7.01E+04,1.07E+00,1.86E-01
8.10E+04,1.05E+00,1.92E-01
6.01E+04,1.28E+00,1.53E-01
7.38E+04,1.21E+00,1.54E-01
6.87E+04,1.20E+00,1.68E-01
6.01E+04,1.22E+00,1.65E-01
6.01E+04,1.24E+00,1.70E-01
6.66E+04,1.17E+00,1.81E-01
5.36E+04,1.21E+00,1.78E-01
6.16E+04,1.15E+00,1.78E-01
7.05E+04,1.12E+00,1.71E-01
6.70E+04,1.08E+00,1.84E-01
6.16E+04,1.40E+00,1.46E-01
5.61E+04,1.26E+00,1.70E-01
8.11E+04,1.21E+00,1.58E-01
6.76E+04,1.18E+00,1.75E-01
6.01E+04,1.27E+00,1.66E-01
5.72E+04,1.20E+00,1.71E-01
6.00E+04,1.17E+00,1.73E-01
5.86E+04,1.21E+00,1.76E-01
5.71E+04,1.19E+00,1.81E-01
6.73E+04,1.13E+00,1.87E-01
5.47E+04,1.33E+00,1.65E-01
5.61E+04,1.26E+00,1.64E-01
6.00E+04,1.22E+00,1.68E-01
5.73E+04,1.32E+00,1.58E-01
